"Interaction_name","Signal","Source","Target","Prob","Pvalue"
"AT3G11410_AT5G46790","ABA","Epidermal","Epidermal",0.0612899735647697,0.38
"AT3G11410_AT5G46790","ABA","Epidermal","Guard",0.0422990494633749,0.38
"AT3G11410_AT5G46790","ABA","Epidermal","Meristematic",0.0671051107108842,0.8
"AT3G11410_AT5G46790","ABA","Epidermal","Mesophyll",0.0548075763487555,0
"AT3G11410_AT5G46790","ABA","Epidermal","Stele",0.0646220029265251,0.8
"AT3G11410_AT5G46790","ABA","Guard","Epidermal",0.0277309692442745,0.28
"AT3G11410_AT5G46790","ABA","Guard","Guard",0.0189287466850584,0.42
"AT3G11410_AT5G46790","ABA","Guard","Meristematic",0.0304653952614804,0.3
"AT3G11410_AT5G46790","ABA","Guard","Mesophyll",0.0247045630650602,0.28
"AT3G11410_AT5G46790","ABA","Guard","Stele",0.0292955008022956,0.3
"AT3G11410_AT5G46790","ABA","Meristematic","Epidermal",0.0850434273209714,1
"AT3G11410_AT5G46790","ABA","Meristematic","Guard",0.059156231268401,0.56
"AT3G11410_AT5G46790","ABA","Meristematic","Meristematic",0.0928892570440546,1
"AT3G11410_AT5G46790","ABA","Meristematic","Mesophyll",0.0762528001160417,0.94
"AT3G11410_AT5G46790","ABA","Meristematic","Stele",0.0895436305688195,1
"AT3G11410_AT5G46790","ABA","Mesophyll","Epidermal",0.0521982622637888,0
"AT3G11410_AT5G46790","ABA","Mesophyll","Guard",0.0359166513288675,0.3
"AT3G11410_AT5G46790","ABA","Mesophyll","Meristematic",0.0572033522334322,0.2
"AT3G11410_AT5G46790","ABA","Mesophyll","Mesophyll",0.0466296928157711,0
"AT3G11410_AT5G46790","ABA","Mesophyll","Stele",0.0550650148278025,0.1
"AT3G11410_AT5G46790","ABA","Stele","Epidermal",0.0985353285841662,1
"AT3G11410_AT5G46790","ABA","Stele","Guard",0.0688502469784092,0.7
"AT3G11410_AT5G46790","ABA","Stele","Meristematic",0.107479660455985,1
"AT3G11410_AT5G46790","ABA","Stele","Mesophyll",0.0884849648584451,1
"AT3G11410_AT5G46790","ABA","Stele","Stele",0.103668583407472,1
"AT5G57050_AT5G46790","ABA","Epidermal","Epidermal",0.0161034704904791,0.28
"AT5G57050_AT5G46790","ABA","Epidermal","Guard",0.00958963156786513,0.42
"AT5G57050_AT5G46790","ABA","Epidermal","Meristematic",0.0227582462766314,0.96
"AT5G57050_AT5G46790","ABA","Epidermal","Mesophyll",0.0141047827054573,0.04
"AT5G57050_AT5G46790","ABA","Epidermal","Stele",0.0175897945869686,0.66
"AT5G57050_AT5G46790","ABA","Guard","Epidermal",0.00709899097899292,0.28
"AT5G57050_AT5G46790","ABA","Guard","Guard",0.00421186372098907,0.58
"AT5G57050_AT5G46790","ABA","Guard","Meristematic",0.0100707440163723,0.32
"AT5G57050_AT5G46790","ABA","Guard","Mesophyll",0.00621084246153351,0.28
"AT5G57050_AT5G46790","ABA","Guard","Stele",0.00776077181826755,0.3
"AT5G57050_AT5G46790","ABA","Meristematic","Epidermal",0.0227692882904988,0.98
"AT5G57050_AT5G46790","ABA","Meristematic","Guard",0.0135963924361405,0.48
"AT5G57050_AT5G46790","ABA","Meristematic","Meristematic",0.0320888795840865,1
"AT5G57050_AT5G46790","ABA","Meristematic","Mesophyll",0.0199600540688528,0.9
"AT5G57050_AT5G46790","ABA","Meristematic","Stele",0.0248553141403175,1
"AT5G57050_AT5G46790","ABA","Mesophyll","Epidermal",0.0136174565394894,0
"AT5G57050_AT5G46790","ABA","Mesophyll","Guard",0.00810092841644684,0.42
"AT5G57050_AT5G46790","ABA","Mesophyll","Meristematic",0.0192650002870601,0.76
"AT5G57050_AT5G46790","ABA","Mesophyll","Mesophyll",0.0119235819661175,0
"AT5G57050_AT5G46790","ABA","Mesophyll","Stele",0.0148777952562184,0.3
"AT5G57050_AT5G46790","ABA","Stele","Epidermal",0.026669547364701,1
"AT5G57050_AT5G46790","ABA","Stele","Guard",0.0159510301239427,0.54
"AT5G57050_AT5G46790","ABA","Stele","Meristematic",0.037524236211232,1
"AT5G57050_AT5G46790","ABA","Stele","Mesophyll",0.0233906241163333,1
"AT5G57050_AT5G46790","ABA","Stele","Stele",0.0291022571829249,1
"AT1G72770_AT5G46790","ABA","Epidermal","Epidermal",0.0390288305205686,0.02
