"Interaction_name","Signal","Ligand","Receptor","Complex1","Complex2","Agonist","Antagonist","CoAreceptor","CoIreceptor","Evidence","Interaction_type"
"ABA_AT5G46790","ABA","ABA","AT5G46790","","","","","","","PMID:19407142","Signaling molecule"
"ABA_AT5G46790&AT4G18620","ABA","ABA","AT5G46790","","","","","","AT4G18620","PMID:24189045","Signaling molecule"
"ABA_AT5G46790_AT1G72770","ABA","ABA","AT5G46790","AT1G72770","","","","","","PMID:19407142","Signaling molecule"
"ABA_AT5G46790_AT3G11410","ABA","ABA","AT5G46790","AT3G11410","","","","","","PMID:19407142","Signaling molecule"
"ABA_AT5G46790_AT4G26080","ABA","ABA","AT5G46790","AT4G26080","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT5G46790_AT5G57050","ABA","ABA","AT5G46790","AT5G57050","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT2G38310","ABA","ABA","AT2G38310","","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT2G38310_AT4G26080","ABA","ABA","AT2G38310","AT4G26080","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT2G38310_AT5G57050","ABA","ABA","AT2G38310","AT5G57050","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT2G38310_AT1G72770","ABA","ABA","AT2G38310","AT1G72770","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT2G38310_AT3G11410","ABA","ABA","AT2G38310","AT3G11410","","","","","","PMID:32612234","Signaling molecule"
"ABA_AT2G38310_AT5G59220","ABA","ABA","AT2G38310","AT5G59220","","","","","","PMID:24823379","Signaling molecule"
"ABA_AT2G38310_AT1G07430","ABA","ABA","AT2G38310","AT1G07430","","","","","","PMID:32612234","Signaling molecule"
"ABA_AT2G38310_AT2G29380","ABA","ABA","AT2G38310","AT2G29380","","","","","","PMID:32612234","Signaling molecule"
"ABA_AT5G05440","ABA","ABA","AT5G05440","","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT5G05440_AT4G26080","ABA","ABA","AT5G05440","AT4G26080","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT5G05440_AT5G57050","ABA","ABA","AT5G05440","AT5G57050","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT5G05440_AT1G72770","ABA","ABA","AT5G05440","AT1G72770","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT5G05440_AT3G11410","ABA","ABA","AT5G05440","AT3G11410","","","","","","PMID:19407142","Signaling molecule"
"ABA_AT5G05440_AT1G07430","ABA","ABA","AT5G05440","AT1G07430","","","","","","PMID:22829320","Signaling molecule"
"ABA_AT5G05440_AT2G29380","ABA","ABA","AT5G05440","AT2G29380","","","","","","PMID:22829320","Signaling molecule"
"ABA_AT5G05440_AT5G59220","ABA","ABA","AT5G05440","AT5G59220","","","","","","PMID:22829320","Signaling molecule"
"ABA_AT5G05440_AT1G17550","ABA","ABA","AT5G05440","AT1G17550","","","","","","PMID:32612234","Signaling molecule"
"ABA_AT2G40330","ABA","ABA","AT2G40330","","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT2G40330_AT4G26080","ABA","ABA","AT2G40330","AT4G26080","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT2G40330_AT5G57050","ABA","ABA","AT2G40330","AT5G57050","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT2G40330_AT1G72770","ABA","ABA","AT2G40330","AT1G72770","","","","","","PMID:20729862","Signaling molecule"
"ABA_AT2G40330_AT3G11410","ABA","ABA","AT2G40330","AT3G11410","","","","","","PMID:19407142","Signaling molecule"
"ABA_AT2G40330_AT1G17550","ABA","ABA","AT2G40330","AT1G17550","","","","","","PMID:32612234","Signaling molecule"
"ABA_AT2G40330_AT1G07430","ABA","ABA","AT2G40330","AT1G07430","","","","","","PMID:32612234","Signaling molecule"
"ABA_AT2G40330_AT2G29380","ABA","ABA","AT2G40330","AT2G29380","","","","","","PMID:32612234","Signaling molecule"
"ABA_AT4G01026","ABA","ABA","AT4G01026","","","","","","","PMID:32612234","Signaling molecule"
"ABA_AT4G01026_AT4G26080","ABA","ABA","AT4G01026","AT4G26080","","","","","","PMID:32612234","Signaling molecule"
"ABA_AT4G01026_AT1G72770","ABA","ABA","AT4G01026","AT1G72770","","","","","","PMID:19407142","Signaling molecule"
"ABA_AT4G01026_AT3G11410","ABA","ABA","AT4G01026","AT3G11410","","","","","","PMID:22935148","Signaling molecule"
"ABA_AT4G01026_AT1G07430","ABA","ABA","AT4G01026","AT1G07430","","","","","","PMID:22829320","Signaling molecule"
"ABA_AT4G01026_AT2G29380","ABA","ABA","AT4G01026","AT2G29380","","","","","","PMID:22829320","Signaling molecule"
"ABA_AT4G01026_AT1G17550","ABA","ABA","AT4G01026","AT1G17550","","","","","","PMID:32612234","Signaling molecule"
"ABA_AT5G53160","ABA","ABA","AT5G53160","","","","","","","PMID:23370718","Signaling molecule"
"ABA_AT5G53160_AT4G26080","ABA","ABA","AT5G53160","AT4G26080","","","","","","PMID:23370718","Signaling molecule"
"ABA_AT5G53160_AT5G57050","ABA","ABA","AT5G53160","AT5G57050","","","","","","PMID:23370718","Signaling molecule"
"ABA_AT5G53160_AT1G72770","ABA","ABA","AT5G53160","AT1G72770","","","","","","PMID:23370718","Signaling molecule"
"ABA_AT5G53160_AT1G17550","ABA","ABA","AT5G53160","AT1G17550","","","","","","PMID:23370718","Signaling molecule"
"ABA_AT5G53160_AT3G11410","ABA","ABA","AT5G53160","AT3G11410","","","","","","PMID:23370718","Signaling molecule"
"ABA_AT5G53160_AT5G59220","ABA","ABA","AT5G53160","AT5G59220","","","","","","PMID:32612234","Signaling molecule"
"ABA_AT5G53160_AT1G07430","ABA","ABA","AT5G53160","AT1G07430","","","","","","PMID:22829320","Signaling molecule"
"ABA_AT5G53160_AT2G29380","ABA","ABA","AT5G53160","AT2G29380","","","","","","PMID:22829320","Signaling molecule"
"ABA_AT4G17870","ABA","ABA","AT4G17870","","","","","","","PMID:23864556","Signaling molecule"
"ABA_AT4G17870_AT1G07430","ABA","ABA","AT4G17870","AT1G07430","","","","","","PMID:23864556","Signaling molecule"
"ABA_AT4G17870_AT5G59220","ABA","ABA","AT4G17870","AT5G59220","","","","","","PMID:24189045","Signaling molecule"
"BR_AT4G39400","BR","BR","AT4G39400","","","","","","","PMID:12150929","Signaling molecule"
"BR_AT4G39400_AT4G33430#AT4G18710","BR","BR","AT4G39400","AT4G33430","","","AT4G18710","","","PMID:12150929","Signaling molecule"
"BR_AT4G39400_AT4G33430#AT5G42750","BR","BR","AT4G39400","AT4G33430","","","AT5G42750","","","PMID:16857903","Signaling molecule"
"BR_AT4G39400_AT4G33430#AT2G39660","BR","BR","AT4G39400","AT4G33430","","AT2G39660","","","","PMID:23818580","Signaling molecule"
"BR_AT4G39400_AT4G33430#AT5G19280","BR","BR","AT4G39400","AT4G33430","","","AT5G19280","","","PMID:17302430","Signaling molecule"
"BR_AT4G39400_AT4G33430#AT1G71030","BR","BR","AT4G39400","AT4G33430","","","AT1G71030","","","PMID:23169658","Signaling molecule"
"BR_AT4G39400_AT4G33430#AT3G09070","BR","BR","AT4G39400","AT4G33430","","AT3G09070","","","","PMID:26387715","Signaling molecule"
"Ca2+_AT3G51800","Ca2+","Ca2+","AT3G51800","","","","","","","PMID:27684709","Signaling molecule"
"Ca2+_AT3G51800_AT5G17330","Ca2+","Ca2+","AT3G51800","AT5G17330","","","","","","PMID:19580813","Signaling molecule"
"Ca2+_AT3G51800_AT1G66410","Ca2+","Ca2+","AT3G51800","AT1G66410","","","","","","PMID:27684709","Signaling molecule"
"Ca2+_AT2G41110","Ca2+","Ca2+","AT2G41110","","","","","","","PMID:21798944","Signaling molecule"
"Ca2+_AT3G56800","Ca2+","Ca2+","AT3G56800","","","","","","","PMID:22737156","Signaling molecule"
"Ca2+_AT1G66410","Ca2+","Ca2+","AT1G66410","","","","","","","PMID:22737156","Signaling molecule"
"Ca2+_AT5G21274","Ca2+","Ca2+","AT5G21274","","","","","","","PMID:17360592","Signaling molecule"
"Ca2+_AT3G43810","Ca2+","Ca2+","AT3G43810","","","","","","","PMID:17360592","Signaling molecule"
"Ca2+_AT3G43810_AT5G57110","Ca2+","Ca2+","AT3G43810","AT5G57110","","","","","","PMID:23086147","Signaling molecule"
"Ca2+_AT4G14640","Ca2+","Ca2+","AT4G14640","","","","","","","PMID:17360592","Signaling molecule"
"Ca2+_AT3G10660","Ca2+","Ca2+","AT3G10660","","","","","","","PMID:24280384","Signaling molecule"
"Ca2+_AT4G23650","Ca2+","Ca2+","AT4G23650","","","","","","","PMID:22789293","Signaling molecule"
"Ca2+_AT4G09570","Ca2+","Ca2+","AT4G09570","","","","","","","PMID:17921317","Signaling molecule"
"Ca2+_AT4G35310","Ca2+","Ca2+","AT4G35310","","","","","","","PMID:23609608","Signaling molecule"
"Ca2+_AT2G17290","Ca2+","Ca2+","AT2G17290","","","","","","","PMID:20385816","Signaling molecule"
"Ca2+_AT5G12480","Ca2+","Ca2+","AT5G12480","","","","","","","PMID:24833385","Signaling molecule"
"Ca2+_AT5G19450","Ca2+","Ca2+","AT5G19450","","","","","","","PMID:25966761","Signaling molecule"
"Ca2+_AT1G18890","Ca2+","Ca2+","AT1G18890","","","","","","","PMID:20805328","Signaling molecule"
"Ca2+_AT3G51850","Ca2+","Ca2+","AT3G51850","","","","","","","PMID:25037208","Signaling molecule"
"Ca2+_AT4G21940","Ca2+","Ca2+","AT4G21940","","","","","","","PMID:24833385","Signaling molecule"
"Ca2+_AT2G17890","Ca2+","Ca2+","AT2G17890","","","","","","","PMID:23943848","Signaling molecule"
"Ca2+_AT1G61950","Ca2+","Ca2+","AT1G61950","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT4G04720","Ca2+","Ca2+","AT4G04720","","","","","","","PMID:23630285","Signaling molecule"
"Ca2+_AT4G04740","Ca2+","Ca2+","AT4G04740","","","","","","","PMID:20385816","Signaling molecule"
"Ca2+_AT2G35890","Ca2+","Ca2+","AT2G35890","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT4G38230","Ca2+","Ca2+","AT4G38230","","","","","","","PMID:21798944","Signaling molecule"
"Ca2+_AT5G66210","Ca2+","Ca2+","AT5G66210","","","","","","","PMID:25525792","Signaling molecule"
"Ca2+_AT1G76040","Ca2+","Ca2+","AT1G76040","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT3G57530","Ca2+","Ca2+","AT3G57530","","","","","","","PMID:16299177","Signaling molecule"
"Ca2+_AT1G50700","Ca2+","Ca2+","AT1G50700","","","","","","","PMID:25661797","Signaling molecule"
"Ca2+_AT3G07490","Ca2+","Ca2+","AT3G07490","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT2G43290","Ca2+","Ca2+","AT2G43290","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT1G05990","Ca2+","Ca2+","AT1G05990","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT2G41090","Ca2+","Ca2+","AT2G41090","","","","","","","PMID:26315131","Signaling molecule"
"Ca2+_AT3G22930","Ca2+","Ca2+","AT3G22930","","","","","","","PMID:19095804","Signaling molecule"
"Ca2+_AT2G41100","Ca2+","Ca2+","AT2G41100","","","","","","","PMID:21798944","Signaling molecule"
"Ca2+_AT1G12310","Ca2+","Ca2+","AT1G12310","","","","","","","PMID:36660928","Signaling molecule"
"Ca2+_AT1G62820","Ca2+","Ca2+","AT1G62820","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT3G25600","Ca2+","Ca2+","AT3G25600","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT4G37010","Ca2+","Ca2+","AT4G37010","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT3G50360","Ca2+","Ca2+","AT3G50360","","","","","","","PMID:19843313","Signaling molecule"
"Ca2+_AT4G26470","Ca2+","Ca2+","AT4G26470","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT3G24110","Ca2+","Ca2+","AT3G24110","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT5G37770","Ca2+","Ca2+","AT5G37770","","","","","","","PMID:23039100","Signaling molecule"
"Ca2+_AT1G24620","Ca2+","Ca2+","AT1G24620","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT1G73630","Ca2+","Ca2+","AT1G73630","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT1G18210","Ca2+","Ca2+","AT1G18210","","","","","","","PMID:23435172","Signaling molecule"
"Ca2+_AT2G15680","Ca2+","Ca2+","AT2G15680","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT2G41410","Ca2+","Ca2+","AT2G41410","","","","","","","PMID:19000166","Signaling molecule"
"Ca2+_AT3G10190","Ca2+","Ca2+","AT3G10190","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT5G42380","Ca2+","Ca2+","AT5G42380","","","","","","","PMID:19095804","Signaling molecule"
"Ca2+_AT1G76650","Ca2+","Ca2+","AT1G76650","","","","","","","PMID:26315018","Signaling molecule"
"Ca2+_AT3G50770","Ca2+","Ca2+","AT3G50770","","","","","","","PMID:21798944","Signaling molecule"
"Ca2+_AT1G21550","Ca2+","Ca2+","AT1G21550","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT3G47480","Ca2+","Ca2+","AT3G47480","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT2G27480","Ca2+","Ca2+","AT2G27480","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT3G10300","Ca2+","Ca2+","AT3G10300","","","","","","","KEGG:ath04626","Signaling molecule"
"Ca2+_AT3G57050_AT3G17510#AT3G03950","Ca2+","Ca2+","AT3G57050","AT3G17510","","AT3G03950","","","","PMID:16113215","Signaling molecule"
"Ca2+_AT3G57050_AT3G17510#AT3G13460","Ca2+","Ca2+","AT3G57050","AT3G17510","","AT3G13460","","","","PMID:16113215","Signaling molecule"
"Ca2+_AT4G17615_AT3G17510","Ca2+","Ca2+","AT4G17615","AT3G17510","","","","","","PMID:17092313","Signaling molecule"
"Ca2+_AT4G17615_AT3G23000","Ca2+","Ca2+","AT4G17615","AT3G23000","","","","","","PMID:21600398","Signaling molecule"
"Ca2+_AT4G17615_AT1G30270","Ca2+","Ca2+","AT4G17615","AT1G30270","","","","","","PMID:21685179","Signaling molecule"
"Ca2+_AT4G17615_AT4G30960","Ca2+","Ca2+","AT4G17615","AT4G30960","","","","","","PMID:11230129","Signaling molecule"
"Ca2+_AT5G55990_AT2G30360","Ca2+","Ca2+","AT5G55990","AT2G30360","","","","","","PMID:23109687","Signaling molecule"
"Ca2+_AT5G55990_AT3G17510","Ca2+","Ca2+","AT5G55990","AT3G17510","","","","","","PMID:11230129","Signaling molecule"
