"","Epidermal","Mesophyll","Stele","Meristematic","Guard"
"AT4G10250",0,0,0,0,0
"AT2G14247",0.0289500940769074,0.0448501376837518,0.0383816333922601,0.0180434335884024,0
"AT4G01390",0.0115994673442521,0.0145406830219342,0.039264475665467,0,0
"AT4G30170",0.0845762277726692,0.0488865374355738,0.0653465847959017,0.0595557568433536,0
"AT5G56080",0.00792074354524661,0.0112194384391658,0.00616974645007009,0.00889821105022213,0
"AT4G10510",0.0237379289959678,0.0139118474043088,0.017349161685466,0.0163729758474629,0
"AT3G56970",0.056128128938253,0.030990530506352,0.0477301069292531,0.0502911880763385,0
"AT3G21370",0,0.000352149252889252,0,0.00308756149125829,0
"AT1G07400",0,0.0010301619632152,0.00231819149149435,0.003958829749605,0
"AT1G08090",0.00415147851440877,0.00372037312660885,0.00178819153405954,0,0
"AT1G70260",0.00694261463310675,0.00600984391301591,0.00193818942442668,0.00728518054656214,0
"AT3G55290",0.00408250838293731,0.00338527585141788,0,0.000735733477044678,0
"AT1G52560",0.00228979069219177,0.00160811231781148,0.00752418083550003,0.00870397199909669,0
"AT3G49970",0.00339071885739222,0.00400113377885087,0.00456516913486657,0,0
"AT1G54970",0.0211518975488166,0.00315784549685023,0,0.00278020461015217,0
"AT1G29090",0.000443656814357307,0,0,0.0182881862210928,0
"AT2G29500",0.00902903820710632,0.00824340203157677,0.00141828052429594,0.0064291873859243,0
"AT4G22690",0.202539193975382,0.157770593742533,0.145193495944039,0.194168646191421,0.157196448509455
"AT3G22060",0.0168868496531322,0.0293364336298762,0.0117825807239272,0.0160643126215719,0
"AT2G41850",0,0,0,0.00468937137565114,0
"AT1G24575",0.00101747902593088,0.00207489574251557,0.00629798244457875,0.00601122357393101,0
"AT1G53540",0.000503773595697146,0.00141562580319859,0,0,0
"AT3G26280",0.0367030903270674,0.039846395143366,0.0292700560361244,0.0223495283173912,0
"AT3G14260",0.0115666985273049,0.00373299568592321,0.016579488844041,0.00823049053604108,0
"AT4G11210",0.00174465520345117,0.00147779289744229,0,0.00202000222222644,0
"AT5G63195",0.00162429518497426,0.00158561819605923,0.00201818119838581,0.00497074392984817,0
"AT1G54050",0.00817725676779496,0.0126685750913501,0.00959171095419696,0.0121968636158355,0
"AT5G57540",0.00948239758982619,0.000931063986893876,0,0,0
"AT5G48570",0.0667465593636987,0.0640688086928752,0.0598386975937428,0.11242529397553,0
"AT3G05727",0.00583181120091763,0.00408766889935666,0.00463454109368409,0.0102961768608975,0
"AT4G22517",0.000415903906455979,0.00742080939598241,0.00382515342539789,0.00562727046313746,0
"AT1G64370",0.0740161165929077,0.137789954781959,0.277322149685953,0.104408977443026,0.158913318437529
"AT4G09420",0.0250630894304209,0.0195049134457674,0.0247509157955256,0.0114744046969739,0
"AT2G22510",0.0120425920013987,0.0114970788060807,0.014414750575847,0.0191128512229853,0
"AT3G52720",0.104255126061312,0.153058607428892,0.15778473138127,0.136875342810733,0.204780752240381
"AT5G59720",0.00569966740523482,0.00483924230449283,0.00700620795683524,0.00369618570341749,0
"AT4G13505",0.00447231466924184,0.00242631354734909,0.00298293567713238,0.00160640506066308,0
"AT4G22460",0,0.000122251673506052,0,0,0
"AT2G02990",0,0.00119479693778458,0,0.0319499954098335,0
"AT2G38750",0.211474121335493,0.116075721336491,0.129371802772765,0.148131093312751,0.16183527760233
"AT2G05510",0.00356172575132973,0.00939436891675095,0.013497489927353,0.00363404617406135,0
"AT3G46230",0.00298532382808426,0.00377114259274246,0.00602351690967493,0.00509593963720423,0
"AT3G22830",0.0318309349847831,0.0149866364301505,0.0226562668475568,0.0225357815048658,0.0410082241677923
"AT3G57020",0.153705948331338,0.094161987477018,0.0629709266069426,0.0872162333013554,0.207423454974143
"AT4G19690",0.0695681494701027,0.0422948886456226,0.0318027785138125,0.0181236297277319,0
"AT2G47530",0.0196507238541561,0.00115006899721062,0,0,0
"AT3G01260",0.01456017739103,0.00673240478843226,0.0558345117715292,0.00762294868217599,0
"AT5G13930",0.0698694638635397,0.0800315939837218,0.0863949979509043,0.0844181806975693,0.110116873273731
"AT1G54040",0.00814882600153874,0.0142190371998446,0.00279072052772371,0.0119130283552795,0
"AT1G80130",0.00294087569125831,0.00741481360077315,0.0062584524550636,0.000685474141518116,0
"AT4G12870",0.00120463636798882,0,0,0,0
"AT4G09695",0.000401127202783732,0.000696324390604938,0.00514586166236231,0.00143508106245567,0
"AT3G21720",0.00762722478188268,0.010467979894432,0.00891690705823353,0.0255533736948109,0
"AT3G46700",0.165530698044922,0.103517837489598,0.12936465336316,0.153868459570559,0.10316825786533
"AT1G60190",0.00565290676500724,0.00747749500776491,0.0116382703117419,0.00911416686846497,0
"AT4G11650",0.0271379766803978,0.0275027875809872,0.0144652689106416,0.0626240585269808,0.0410082241677923
"AT2G38790",0.0225311788558621,0.0077359305876605,0.0144103335639997,0.016459847004088,0
