gene,Epidermal_mean,Epidermal_pct,Mesophyll_mean,Mesophyll_pct,Stele_mean,Stele_pct,Meristematic_mean,Meristematic_pct,Guard_mean,Guard_pct,top_coexpr_partner,top_coexpr_r
CBL1,0.131,6.4,0.144,7.8,0.157,7.9,0.192,11.1,0.213,11.2,CML24,0.023
CBL9,0.168,7.8,0.082,4.5,0.102,5.3,0.112,6.7,0.075,3.4,AKT1,0.055
CBL2,0.215,10.4,0.168,9.0,0.158,8.3,0.182,10.5,0.181,7.9,CIPK1,0.026
CIPK23,0.139,6.9,0.131,7.1,0.123,6.5,0.151,9.2,0.107,6.7,ANNAT1,0.026
CIPK1,0.462,21.2,0.421,20.8,0.402,19.8,0.416,22.9,0.338,18.0,CBL2,0.026
CIPK9,0.381,18.0,0.48,23.2,0.397,19.9,0.391,21.1,0.341,16.9,KC1,0.025
CML38,0.196,9.6,0.188,10.0,0.218,11.3,0.226,13.2,0.148,7.9,AKT1,0.021
CML42,0.054,2.7,0.061,3.4,0.049,2.5,0.058,3.6,0.102,5.6,CML24,0.015
CML24,0.463,21.4,0.41,20.8,0.548,25.8,0.636,32.5,0.603,27.0,AKT1,0.034
CaM7,0.071,3.5,0.081,4.4,0.072,3.8,0.083,5.0,0.047,2.2,ANNAT1,0.049
CaM3,0.081,3.9,0.099,5.4,0.066,3.4,0.089,5.3,0.106,5.6,ANNAT1,0.085
CDPK3,0.144,7.1,0.143,7.8,0.137,7.1,0.156,9.1,0.086,5.6,ANNAT1,0.03
CDPK4,0.072,3.5,0.049,2.6,0.049,2.6,0.066,4.1,0.03,2.2,ANNAT1,0.024
CAX3,0.228,11.0,0.199,10.5,0.208,10.7,0.22,12.8,0.16,10.1,CIPK9,0.019
NRT2.1,0.018,0.8,0.007,0.4,0.003,0.2,0.008,0.6,0.0,0.0,AKT1,0.01
SOS1,0.163,8.0,0.131,7.1,0.158,8.3,0.149,8.7,0.258,13.5,AKT1,0.032
ANNAT1,0.126,5.8,0.127,6.8,0.101,5.2,0.129,7.2,0.029,2.2,CaM3,0.085
AKT1,0.367,16.7,0.197,10.8,0.288,14.1,0.268,14.9,0.192,11.2,CBL9,0.055
AKT2,0.114,5.3,0.062,3.5,0.191,9.2,0.081,4.9,0.18,9.0,GORK,0.036
GORK,0.012,0.6,0.012,0.7,0.058,2.7,0.014,1.0,0.042,2.2,AKT2,0.036
KAT1,0.049,2.4,0.023,1.3,0.032,1.5,0.031,1.9,0.113,4.5,AKT1,0.024
KAT2,0.136,6.8,0.177,9.2,0.176,9.1,0.159,9.6,0.144,9.0,KC1,0.03
KC1,0.489,22.7,0.539,26.4,0.531,25.7,0.515,27.8,0.535,29.2,KAT2,0.03
