gene,correct_AGI,previously_used_AGI,status,in_cellchat_network,source,note
CBL1,AT4G17615,AT3G51800,CORRECTED,yes,CellChat+TAIR,
CBL9,AT5G47100,AT5G24270,CORRECTED,NO,TAIR/BioGRID,used AGI = SOS3/CBL4; correct CBL9 absent from CellChat network — consider CBL1 as the sensor
CBL2,AT5G55990,AT3G51920,CORRECTED,yes,CellChat+TAIR,
CIPK23,AT1G30270,AT4G35310,CORRECTED,yes,CellChat+TAIR,used AGI = CPK5
CIPK1,AT3G17510,AT3G17510,OK,yes,TAIR,already correct
CIPK9,AT1G01140,AT1G01140,OK,yes,TAIR,already correct
CML24,AT5G37770,AT5G56030,CORRECTED, ,TAIR,
CML38,AT1G76650,AT5G19450,CORRECTED, ,TAIR,
CML42,AT4G20780,AT5G55990,CORRECTED, ,TAIR,used AGI = CBL2 locus
CaM3,AT3G56800,AT3G56800,OK,yes,TAIR,already correct
CaM7,AT3G43810,AT3G43810,OK,yes,TAIR,already correct
CDPK3,AT4G23650,AT4G23650,OK,yes,CellChat+TAIR,already correct
CDPK4,AT4G09570,AT4G09570,OK,yes,CellChat+TAIR,already correct
CAX3,AT3G51860,AT2G23980,CORRECTED, ,TAIR/Ensembl,used AGI = CAX1
NRT2.1,AT1G08090,AT4G19030,CORRECTED, ,TAIR,
SOS1,AT2G01980,AT2G01980,OK,yes,TAIR,already correct
ANNAT1,AT1G35720,AT1G35720,OK,yes,TAIR,already correct
AKT1,AT2G26650,AT2G26650,OK,yes,CellChat+TAIR,already correct (but text para wrote AT2G26320 once)
AKT2,AT4G22200,AT5G46240,CORRECTED, ,TAIR,used AGI = KAT1 locus
GORK,AT5G37500,AT4G18290,CORRECTED, ,TAIR,used AGI = KAT2 locus
KAT1,AT5G46240,AT5G37500,CORRECTED, ,BioGRID/TAIR,used AGI = GORK locus
KAT2,AT4G18290,AT4G22200,CORRECTED, ,TAIR,used AGI = AKT2 locus
KC1,AT4G32650,AT4G30960,CORRECTED, ,TAIR,
