"query_name","source","term_name","p_value","neg_log10_p","intersection_size","term_size","intersection"
"Flight_up_41","KEGG","Protein processing in endoplasmic reticulum",1.25275663663359e-11,10.9021332878505,9,15,"AT4G10250,AT1G07400,AT1G52560,AT2G29500,AT1G53540,AT1G54050,AT5G59720,AT3G46230,AT4G25200"
"All_85","KEGG","Protein processing in endoplasmic reticulum",2.60620292766117e-08,7.58399177168855,9,15,"AT4G10250,AT1G07400,AT1G52560,AT2G29500,AT1G53540,AT1G54050,AT5G59720,AT3G46230,AT4G25200"
"Flight_up_41","GO:BP","response to heat",0.00434136291628011,2.36237390779183,6,31,"AT4G10250,AT1G07400,AT1G52560,AT5G48570,AT5G59720,AT3G46230"
"All_85","GO:BP","response to heat",0.0108070297237036,1.96629365404499,8,31,"AT4G10250,AT1G07400,AT1G52560,AT5G48570,AT5G59720,AT2G38750,AT3G46230,AT2G42540"
"Flight_up_41","GO:BP","cellular response to oxygen levels",0.0322195776904064,1.49188015627956,4,26,"AT4G10250,AT1G07400,AT1G54050,AT3G46230"
"Flight_up_41","GO:BP","protein modification by small protein conjugation or removal",0.0322195776904064,1.49188015627956,3,12,"AT3G49970,AT5G50580,AT1G60190"
"Flight_up_41","GO:BP","response to oxygen levels",0.0322195776904064,1.49188015627956,4,27,"AT4G10250,AT1G07400,AT1G54050,AT3G46230"
"Flight_up_41","GO:BP","response to decreased oxygen levels",0.0322195776904064,1.49188015627956,4,27,"AT4G10250,AT1G07400,AT1G54050,AT3G46230"
"Flight_up_41","GO:BP","post-translational protein modification",0.0322195776904064,1.49188015627956,3,12,"AT3G49970,AT5G50580,AT1G60190"
"Flight_up_41","GO:BP","cellular response to hypoxia",0.0322195776904064,1.49188015627956,4,25,"AT4G10250,AT1G07400,AT1G54050,AT3G46230"
"Flight_up_41","GO:BP","cellular response to decreased oxygen levels",0.0322195776904064,1.49188015627956,4,26,"AT4G10250,AT1G07400,AT1G54050,AT3G46230"
"Flight_up_41","GO:BP","response to hypoxia",0.0322195776904064,1.49188015627956,4,26,"AT4G10250,AT1G07400,AT1G54050,AT3G46230"
"Flight_up_41","GO:BP","protein modification by small protein conjugation",0.0322195776904064,1.49188015627956,3,12,"AT3G49970,AT5G50580,AT1G60190"
"Ground_up_44","GO:BP","flavonoid biosynthetic process",0.0414785079461682,1.38217687432736,4,13,"AT2G02990,AT5G13930,AT2G36790,AT3G51240"
